nama_menu,harga_menu,kategori_course,profil_rasa,nama_restoran
Kopi Kenangan Mantan Frappe,31000,Beverage,creamy manis dingin kopi gula aren,Kopken Kalisari
Vanilla Kenangan Frappe,29000,Beverage,creamy manis dingin vanilla kopi,Kopken Kalisari
Butterscotch Kenangan Frappe,33000,Beverage,manis creamy dingin butterscotch kopi,Kopken Kalisari
Matcha Kenangan Frappe,35000,Beverage,creamy manis pahit dingin matcha,Kopken Kalisari
Choco Caramel Frappe,31000,Beverage,manis creamy dingin coklat karamel,Kopken Kalisari
Oatside Matcha Latte,27000,Beverage,creamy manis pahit dingin oat matcha,Kopken Kalisari
Oatside Kopi Kenangan Mantan,27000,Beverage,creamy manis dingin oat kopi aren,Kopken Kalisari
Oatside Latte,27000,Beverage,creamy milky dingin oat latte,Kopken Kalisari
Kopi Susu Black Aren Hanya 49RB!,49000,Beverage,pahit manis dingin kopi gula aren,Kopken Kalisari
Hazelnut Latte,28000,Beverage,creamy manis dingin kopi hazelnut,Kopken Kalisari
Creamy Aren Latte,24000,Beverage,creamy manis legit dingin gula aren,Kopken Kalisari
Kopi Susu Black Aren,23000,Beverage,pahit manis dingin kopi gula aren,Kopken Kalisari
Kopi Kenangan Mantan,22000,Beverage,creamy manis dingin kopi gula aren,Kopken Kalisari
Caramel Macchiato,30000,Beverage,creamy manis dingin kopi karamel,Kopken Kalisari
Matcha Espresso,28000,Beverage,pahit creamy dingin matcha kopi,Kopken Kalisari
Mocha Latte,31000,Beverage,manis creamy pahit dingin kopi coklat,Kopken Kalisari
Vanilla Latte,28000,Beverage,creamy manis dingin kopi vanilla,Kopken Kalisari
Avocado Coffee,34000,Beverage,creamy manis dingin kopi alpukat,Kopken Kalisari
Americano,20000,Beverage,pahit segar dingin kopi hitam,Kopken Kalisari
Cappuccino,24000,Beverage,creamy pahit manis dingin kopi susu,Kopken Kalisari
Latte,24000,Beverage,creamy milky manis dingin kopi,Kopken Kalisari
Caramel Latte,28000,Beverage,creamy manis dingin kopi karamel,Kopken Kalisari
Dua Shot Iced Shaken,28000,Beverage,pahit creamy dingin double espresso,Kopken Kalisari
Butterscotch Aren Latte,22000,Beverage,manis creamy legit dingin butterscotch aren,Kopken Kalisari
Butterscotch Sea Salt Latte,27000,Beverage,manis gurih creamy dingin butterscotch,Kopken Kalisari
Cafe Malt Latte,26000,Beverage,creamy manis dingin kopi malt,Kopken Kalisari
Spanish Latte,21000,Beverage,creamy manis pekat dingin kopi susu,Kopken Kalisari
Pistachio Aren Latte,22000,Beverage,creamy gurih manis dingin pistachio aren,Kopken Kalisari
Toffee Nut Choco Macchiato,25000,Beverage,manis creamy dingin coklat toffee kacang,Kopken Kalisari
Toffee Nut Latte,22000,Beverage,creamy manis dingin toffee kacang,Kopken Kalisari
Toffee Nut Oat Latte,25000,Beverage,creamy manis dingin oat toffee kacang,Kopken Kalisari
Toffee Nut Aren Latte,24000,Beverage,creamy manis legit dingin toffee aren,Kopken Kalisari
Dua Shot OG Aren,28000,Beverage,pahit manis dingin double espresso aren,Kopken Kalisari
OG Aren Speculoos Latte,24000,Beverage,creamy manis dingin aren speculoos,Kopken Kalisari
Mocha Caramel,29000,Beverage,manis creamy dingin moka karamel,Kopken Kalisari
Avocado Caramel,30000,Beverage,creamy manis dingin alpukat karamel,Kopken Kalisari
Avocado Milk,26000,Beverage,creamy manis dingin susu alpukat,Kopken Kalisari
Caramel Dutch Choco,31000,Beverage,manis creamy dingin coklat karamel,Kopken Kalisari
Dutch Chocolate,26000,Beverage,manis creamy dingin coklat,Kopken Kalisari
Hazelnut Choco Milk Tea,23000,Beverage,manis creamy dingin milk tea coklat hazelnut,Kopken Kalisari
Hazelnut Dutch Choco,31000,Beverage,manis creamy dingin coklat hazelnut,Kopken Kalisari
Kenangan Milk Tea,21000,Beverage,manis creamy segar dingin milk tea,Kopken Kalisari
Lemon Black Tea,19000,Beverage,manis asam segar dingin teh lemon,Kopken Kalisari
Matcha Latte,27000,Beverage,creamy manis pahit dingin matcha susu,Kopken Kalisari
Milo Dinosaurus,23000,Beverage,manis creamy dingin coklat malt,Kopken Kalisari
Oreo Shake,26000,Beverage,manis creamy dingin oreo susu,Kopken Kalisari
Raspberry Hibiscus,22000,Beverage,asam manis floral segar raspberry hibiscus,Kopken Kalisari
Susu Grass Jelly,24000,Beverage,manis creamy dingin susu cincau,Kopken Kalisari
Milk Oreo Crumble,29000,Beverage,manis creamy crunchy dingin oreo,Kopken Kalisari
Butterscotch Sea Salt Crumble,25000,Beverage,manis gurih crunchy dingin butterscotch,Kopken Kalisari
OG Aren Milky Speculoos,26000,Beverage,creamy manis legit dingin aren speculoos,Kopken Kalisari
Choco Caramel,22000,Beverage,manis creamy dingin coklat karamel,Kopken Kalisari
Join the Dark Side Cookie,23000,Dessert,manis creamy chewy coklat pekat cookies,Kopken Kalisari
Choco Chip Cookies,16000,Dessert,manis buttery crunchy coklat chip cookies,Kopken Kalisari
Roti Srikaya,17000,Dessert,manis creamy lembut srikaya roti,Kopken Kalisari
Roti Coklat Klasik,12000,Dessert,manis creamy coklat roti lembut,Kopken Kalisari
Roti Keju Manis,16000,Dessert,manis gurih creamy keju roti,Kopken Kalisari
Roti Susu Manis,13000,Dessert,manis creamy lembut susu roti,Kopken Kalisari
Butter Croissant,17000,Dessert,gurih buttery flaky croissant,Kopken Kalisari
Chocolate Croissant,21000,Dessert,manis buttery flaky coklat croissant,Kopken Kalisari
Friend Chip Cookie,19000,Dessert,manis buttery crunchy cookies coklat,Kopken Kalisari
Ayam Penyet Dada Sambal Ijo,24000,Main Course,gurih asin pedas savory ayam penyet sambal ijo,Abak Geprek Mamareza
Ayam Penyet Paha Sambal Ijo,24000,Main Course,gurih asin pedas juicy ayam penyet sambal ijo,Abak Geprek Mamareza
Ayam Bakar Paha Manis,27000,Main Course,gurih asin manis smoky ayam bakar,Abak Geprek Mamareza
Ayam Bakar Paha Pedas Manis,27000,Main Course,gurih asin pedas manis smoky ayam bakar,Abak Geprek Mamareza
Ayam Bakar Dada Pedas Manis,27000,Main Course,gurih asin pedas manis smoky ayam bakar,Abak Geprek Mamareza
Ayam Bakar Dada Manis,27000,Main Course,gurih asin manis smoky ayam bakar,Abak Geprek Mamareza
Ayam Geprek,24000,Main Course,gurih asin pedas crispy ayam geprek,Abak Geprek Mamareza
Geprek Keju,32000,Main Course,gurih asin pedas creamy ayam keju,Abak Geprek Mamareza
Indomie Keju,27000,Main Course,gurih asin creamy mie keju,Abak Geprek Mamareza
Indomie Mozzarella,32000,Main Course,gurih asin creamy cheesy mie mozzarella,Abak Geprek Mamareza
Indomie Ayam Geprek,32000,Main Course,gurih asin pedas savory mie ayam geprek,Abak Geprek Mamareza
Indomie Komplit Ayam Geprek Keju,45000,Main Course,gurih asin pedas creamy mie ayam keju,Abak Geprek Mamareza
Ayam Geprek Mozzarella,45000,Main Course,gurih asin pedas cheesy ayam mozzarella,Abak Geprek Mamareza
Indomie Ayam Geprek Mozzarella,50000,Main Course,gurih asin pedas cheesy mie ayam mozzarella,Abak Geprek Mamareza
Ayam Ungkep Bagian Dada,24000,Main Course,gurih asin rempah ayam ungkep,Abak Geprek Mamareza
Ayam Ungkep Bagian Paha,24000,Main Course,gurih asin rempah juicy ayam ungkep,Abak Geprek Mamareza
Ayam Goreng Paha,24000,Main Course,gurih asin crispy juicy ayam goreng,Abak Geprek Mamareza
Ayam Goreng Dada,24000,Main Course,gurih asin crispy ayam goreng,Abak Geprek Mamareza
Ayam Penyet Dada,24000,Main Course,gurih asin pedas savory ayam penyet,Abak Geprek Mamareza
Ayam Penyet Paha,24000,Main Course,gurih asin pedas juicy ayam penyet,Abak Geprek Mamareza
Nila Bakar Sambal Kecap,28000,Main Course,gurih asin manis smoky ikan nila,Abak Geprek Mamareza
Nila Penyet Sambal Ijo,27000,Main Course,gurih asin pedas savory ikan nila,Abak Geprek Mamareza
Nila Goreng  Sambal Kecap,36000,Main Course,gurih asin manis crispy ikan nila,Abak Geprek Mamareza
Nila Penyet Sambal Kecap,33000,Main Course,gurih asin pedas manis ikan nila,Abak Geprek Mamareza
Lele Goreng,25000,Main Course,gurih asin crispy savory lele goreng,Abak Geprek Mamareza
Lele Penyet,25000,Main Course,gurih asin pedas savory lele penyet,Abak Geprek Mamareza
Lele Penyet Sambal Ijo,18000,Main Course,gurih asin pedas segar lele sambal ijo,Abak Geprek Mamareza
pisang nangka goreng cocho crunchy keju susu,27000,Dessert,manis gurih crispy creamy coklat keju susu,Pisang Nangka Ksr
pisang dan nangka dark coklat keju susu,27000,Dessert,manis gurih crispy creamy coklat pekat keju susu,Pisang Nangka Ksr
pisang dan nangka toping tiramisu keju susu,27000,Dessert,manis gurih crispy creamy tiramisu keju susu,Pisang Nangka Ksr
pisang dan nangka matcha keju susu,27000,Dessert,manis gurih crispy creamy pahit matcha keju susu,Pisang Nangka Ksr
pisang dan nangka polos tanpa toping,20000,Dessert,manis gurih crispy hangat pisang nangka goreng,Pisang Nangka Ksr
pisang dan nangka ori toping susu,20000,Dessert,manis gurih crispy creamy susu,Pisang Nangka Ksr
pisang dan nangka choco crunchy susu,25000,Dessert,manis gurih crispy coklat susu,Pisang Nangka Ksr
pisang dan nangka dark coklat susu,25000,Dessert,manis gurih crispy creamy coklat pekat susu,Pisang Nangka Ksr
pisang dan nangka toping keju susu,25000,Dessert,manis gurih crispy creamy keju susu,Pisang Nangka Ksr
pisang dan nangka toping tiramisu susu,25000,Dessert,manis gurih crispy creamy tiramisu susu,Pisang Nangka Ksr
pisang dan nangka matcha susu,25000,Dessert,manis gurih crispy creamy pahit matcha susu,Pisang Nangka Ksr
pisang goreng toping cocho crunchy keju susu,27000,Dessert,manis gurih crispy creamy coklat keju susu,Pisang Nangka Ksr
pisang goreng toping dark coklat keju susu,27000,Dessert,manis gurih crispy creamy coklat pekat keju susu,Pisang Nangka Ksr
pisang goreng tiramisu keju susu,27000,Dessert,manis gurih crispy creamy tiramisu keju susu,Pisang Nangka Ksr
pisang goreng toping matcha keju susu,27000,Dessert,manis gurih crispy creamy pahit matcha keju susu,Pisang Nangka Ksr
pisang goreng toping coklat susu,25000,Dessert,manis gurih crispy creamy coklat susu,Pisang Nangka Ksr
pisang goreng toping dark coklat susu,20000,Dessert,manis gurih crispy creamy coklat pekat susu,Pisang Nangka Ksr
pisang goreng toping keju susu,25000,Dessert,manis gurih crispy creamy keju susu,Pisang Nangka Ksr
pisang goreng tiramisu susu,25000,Dessert,manis gurih crispy creamy tiramisu susu,Pisang Nangka Ksr
pisang goreng matcha susu,25000,Dessert,manis gurih crispy creamy pahit matcha susu,Pisang Nangka Ksr
pisang goreng toping susu,20000,Dessert,manis gurih crispy creamy susu,Pisang Nangka Ksr
pisang goreng tanpa toping,20000,Dessert,manis gurih crispy hangat pisang goreng,Pisang Nangka Ksr
nangka goreng toping keju susu,27000,Dessert,manis gurih crispy creamy keju susu,Pisang Nangka Ksr
nangka goreng toping susu,24000,Dessert,manis gurih crispy creamy susu,Pisang Nangka Ksr
nangka goreng choco crunchy keju susu,30000,Dessert,manis gurih crispy creamy coklat keju susu,Pisang Nangka Ksr
nangka goreng choco crunchy susu,27000,Dessert,manis gurih crispy coklat susu,Pisang Nangka Ksr
Chicken Shawarma Reguler,33750,Main Course,asin gurih smoky creamy ayam shawarma,Uncle Jee Shawarma
Beef Shawarma Reguler,49950,Main Course,asin gurih smoky juicy daging sapi ,Uncle Jee Shawarma
Shawarma Beef Spesial,87750,Main Course,asin gurih smoky juicy daging sapi ,Uncle Jee Shawarma
Briyani Chicken,91500,Main Course,gurih rempah aromatik asin ayam biryani,Uncle Jee Shawarma
Nasi Briyani Lamb Nampan Medium(4-6),702000,Main Course,gurih rempah kuat aromatik asin domba biryani,Uncle Jee Shawarma
Nasi Mandhi Lamb Nampan Medium (4-6),673500,Main Course,gurih smoky rempah lembut asin domba mandhi,Uncle Jee Shawarma
Kurma Juice,47250,Beverage,manis creamy legit dingin kurma,Uncle Jee Shawarma
Shawarma Chicken Spesial,74250,Main Course,gurih smoky creamy asin ayam shawarma,Uncle Jee Shawarma
Briyani Lamb,121500,Main Course,gurih rempah kuat aromatik asin domba biryani,Uncle Jee Shawarma
Mandhi Lamb,105000,Main Course,gurih smoky rempah lembut asin domba mandhi,Uncle Jee Shawarma
Mandhi Chicken,78000,Main Course,gurih smoky rempah lembut asin ayam mandhi,Uncle Jee Shawarma
Briyani Kebab Full Lamb,164700,Main Course,gurih smoky rempah asin domba kebab biryani,Uncle Jee Shawarma
Briyani Kebab Half Lamb,99900,Main Course,gurih smoky rempah asin domba kebab biryani,Uncle Jee Shawarma
Briyani Kebab Chicken Full,105300,Main Course,gurih smoky rempah asin ayam kebab biryani,Uncle Jee Shawarma
Briyani Kebab Chicken Half,70200,Main Course,gurih smoky rempah asin ayam kebab biryani,Uncle Jee Shawarma
Mandhi Kebab Lamb Full,164700,Main Course,gurih smoky rempah lembut asin domba kebab,Uncle Jee Shawarma
Mandhi Kebab Lamb Half,99900,Main Course,gurih smoky rempah lembut asin domba kebab,Uncle Jee Shawarma
Mandhi Kebab Chicken Full,105300,Main Course,gurih smoky rempah lembut asin ayam kebab,Uncle Jee Shawarma
Mandhi Kebab Chicken Half,70200,Main Course,gurih smoky rempah lembut asin ayam kebab,Uncle Jee Shawarma
Mugalgal Lamb,60750,Main Course,gurih savory rempah asin tumis domba,Uncle Jee Shawarma
Mugalgal Chicken,28350,Main Course,gurih savory rempah asin tumis ayam,Uncle Jee Shawarma
Kambing Moroco Bakar,148500,Main Course,gurih smoky rempah aromatik asin kambing bakar,Uncle Jee Shawarma
Chicken Sambosa,47250,Main Course,gurih rempah crispy asin ayam pastry,Uncle Jee Shawarma
Lamb Sambosa,60750,Main Course,gurih rempah crispy asin domba pastry,Uncle Jee Shawarma
Chicken Shish Towuk,82350,Main Course,gurih smoky juicy asin ayam panggang,Uncle Jee Shawarma
Shish Kebab Lamb,109250,Main Course,gurih smoky juicy rempah asin domba panggang,Uncle Jee Shawarma
Shish Kebab Chicken,70200,Main Course,gurih smoky aromatik asin ayam panggang,Uncle Jee Shawarma
Kunafa Chocolate,87750,Dessert,manis creamy gurih coklat keju pastry,Uncle Jee Shawarma
Kunafa Original,81000,Dessert,manis gurih creamy keju pastry ,Uncle Jee Shawarma
Cheese Fries,34425,Appetizer,asin gurih keju kentang ,Uncle Jee Shawarma
Chicken Cheese Fries,60750,Appetizer,asin gurih keju ayam kentang,Uncle Jee Shawarma
Beef Smack Burger,54675,Appetizer,asin gurih juicy smoky daging roti burger,Uncle Jee Shawarma
Chicken Roti John,40500,Appetizer,asin gurih ayam roti  burger,Uncle Jee Shawarma
Beef Roti John,54000,Appetizer,asin gurih juicy smoky daging roti burger,Uncle Jee Shawarma
Snack Pack Chicken,41310,Appetizer,asin gurih savory ayam keju kentang,Uncle Jee Shawarma
Snack Pack Beef,56025,Appetizer,asin gurih savory daging sapi keju kentang,Uncle Jee Shawarma
Muhalabia,22000,Dessert,manis creamy lembut susu puding,Uncle Jee Shawarma
Umm Ali,47250,Dessert,manis creamy gurih roti susu kacang,Uncle Jee Shawarma
Cream Caramel,31050,Dessert,manis kenyal creamy karamel,Uncle Jee Shawarma
Orange Juice,33750,Beverage,manis asam segar jeruk dingin jus,Uncle Jee Shawarma
Kue Pancong Coklat,12000,Dessert,manis coklat pancong,Pancong Rpm
Kue Pancong Coklat Keju Susu,18000,Dessert,manis gurih keju susu coklat pancong,Pancong Rpm
Kue Pancong Keju,15000,Dessert,manis gurih keju pancong,Pancong Rpm
Kue Pancong Original,10000,Dessert,gurih manis pancong,Pancong Rpm
Kue Pancong Greentea,14000,Dessert,manis creamy  greentea pancong,Pancong Rpm
Kue Pancong Greentea Coklat,16000,Dessert,manis creamy greentea coklat pancong,Pancong Rpm
Kue Pancong Greentea Keju,18000,Dessert,gurih manis creamy  greentea keju pancong,Pancong Rpm
Kue Pancong Greentea Coklat Keju,18500,Dessert,manis gurih creamy  greentea coklat keju pancong,Pancong Rpm
Kue Pancong Tiramisu,15000,Dessert,manis creamy  tiramisu kopi pancong,Pancong Rpm
Kue Pancong Tiramisu Coklat,16000,Dessert,manis creamy coklat  tiramisu pancong,Pancong Rpm
Kue Pancong Tiramisu Keju,18000,Dessert,manis gurih creamy  tiramisu keju pancong,Pancong Rpm
Kue Pancong Tiramisu Coklat Keju,18500,Dessert,manis gurih creamy  tiramisu coklat keju pancong,Pancong Rpm
Kue Pancong Kacang,12000,Dessert,manis gurih  kacang pancong,Pancong Rpm
Kue Pancong Kacang Coklat,13000,Dessert,manis gurih creamy  kacang coklat keju pancong,Pancong Rpm
Kue Pancong Kacang Coklat Keju,18500,Dessert,manis gurih creamy  kacang coklat keju pancong,Pancong Rpm
Kue Pancong Oreo,13000,Dessert,manis creamy crunchy  oreo pancong,Pancong Rpm
Kue Pancong Strawbbery,13000,Dessert,manis asam creamy  stroberi pancong,Pancong Rpm
Kue Pancong Ovaltine,16000,Dessert,manis creamy  coklat malt pancong,Pancong Rpm
Pancong Blueberry,13000,Dessert,manis asam fruity  blueberry pancong,Pancong Rpm
Ayam Geprek,18000,Main Course,asin gurih pedas crispy ayam geprek,Gondes Kalisari
Matcha Latte,27000,Beverage,creamy manis pahit dingin matcha susu,Haus Kalisari
Matcha Strawberry,31000,Beverage,creamy asam manis dingin matcha stroberi,Haus Kalisari
Matcha Cheese,33500,Beverage,creamy gurih manis dingin matcha keju,Haus Kalisari
Matcha Mango,31000,Beverage,creamy manis segar dingin matcha mangga,Haus Kalisari
Matcha Lychee,31000,Beverage,creamy manis floral dingin matcha leci,Haus Kalisari
Kopi Coklat,27000,Beverage,manis pahit creamy dingin kopi coklat,Haus Kalisari
Spicy Cheese Ramyeon,40000,Main Course,asin creamy gurih keju mie kuah,Haus Kalisari
Ottokke Cheese,39000,Main Course,asin pedas creamy keju topokki,Haus Kalisari
Topokki,33500,Main Course,asin pedas kenyal topokki,Haus Kalisari
Odeng,16000,Main Course,asin gurih kenyal ikan odeng,Haus Kalisari
Thai Tea,11000,Beverage,manis creamy segar dingin thai tea,Haus Kalisari
Taro,19000,Beverage,manis creamy dingin susu taro,Haus Kalisari
Green Thai Tea,13500,Beverage,manis creamy segar dingin green thai tea,Haus Kalisari
Cookies & Cream,17500,Beverage,manis creamy dingin cookies cream,Haus Kalisari
Jasmine Tea,7000,Beverage,floral segar ringan dingin teh melati,Haus Kalisari
Lychee Tea,17500,Beverage,manis segar dingin teh leci,Haus Kalisari
Mango Tea,17500,Beverage,manis segar dingin teh mangga,Haus Kalisari
Strawberry Tea,17500,Beverage,manis asam segar dingin teh stroberi,Haus Kalisari
Kopasus (Kopi Susu Haus),15000,Beverage,creamy manis dingin kopi susu,Haus Kalisari
Oat Coffee Caramel Macchiato,33500,Beverage,creamy manis dingin oat kopi karamel,Haus Kalisari
Choco Cheese Crunchy with Take It,32000,Beverage,manis gurih crunchy dingin coklat keju,Haus Kalisari
Drink Beng Beng Cream Caramel,31000,Beverage,manis creamy dingin coklat karamel,Haus Kalisari
Choco Lava,23000,Beverage,manis creamy pekat dingin coklat,Haus Kalisari
Choco Hazelnut,20000,Beverage,manis creamy dingin coklat hazelnut,Haus Kalisari
Ovaltine,17500,Beverage,manis creamy dingin coklat malt,Haus Kalisari
Choco Lava Float,25500,Beverage,manis creamy dingin coklat float,Haus Kalisari
Choco Avocado Float,29000,Beverage,creamy manis dingin coklat alpukat,Haus Kalisari
Choco Avocado,19500,Beverage,creamy manis dingin coklat alpukat,Haus Kalisari
Boba Brown Sugar Fresh Milk,21500,Beverage,manis creamy dingin brown sugar susu boba,Haus Kalisari
Boba Brown Sugar Milk Tea,21500,Beverage,manis creamy dingin milk tea brown sugar,Haus Kalisari
Lychee Yakult,20000,Beverage,asam manis segar dingin leci yakult,Haus Kalisari
Mango Yakult,21500,Beverage,asam manis segar dingin mangga yakult,Haus Kalisari
Lemon Tea Yakult,29000,Beverage,asam manis segar dingin lemon teh yakult,Haus Kalisari
Double Chocco Isi 4,23750,Dessert,manis coklat kue balok ,Kue Balok Kenanga
Almond Isi 4,23750,Dessert,manis kacang kue balok,Kue Balok Kenanga
Kue Balok Original Isi 4,17500,Dessert,manis kue balok,Kue Balok Kenanga
Toping Greentea Isi 4,23750,Dessert,manis greentea kue balok,Kue Balok Kenanga
Toping Keju isi 4,23750,Dessert,manis gurih keju kue balok,Kue Balok Kenanga
Toping Capucino Isi 4,22500,Dessert,manis capucino kue balok,Kue Balok Kenanga
Toping Tiramisu Crunchy Isi 4,23750,Dessert,manis tiramisu kue balok,Kue Balok Kenanga
Toping Milk Crunchy Isi 4,23750,Dessert,manis crispy susu kue balok,Kue Balok Kenanga
Kebuli Domba,58305,Main Course,asin gurih rempah aromatik daging domba nasi kebuli,Kebuli Ahmad
Kebuli Sapi,52325,Main Course,asin gurih rempah savory daging sapi nasi kebuli,Kebuli Ahmad
Kebuli Ayam Roasted Jumbo,52325,Main Course,asin gurih manis rempah ayam roasted nasi kebuli,Kebuli Ahmad
Kebuli Ayam Goreng,29900,Main Course,asin gurih rempah crispy ayam goreng kebuli,Kebuli Ahmad
Biryani Domba,64285,Main Course,asin gurih rempah kuat aromatik domba biryani,Kebuli Ahmad
Biryani Sapi,59800,Main Course,asin gurih rempah aromatik daging sapi biryani,Kebuli Ahmad
Biryani Ayam Roasted Jumbo,64285,Main Course,asin gurih rempah manis ayam roasted biryani,Kebuli Ahmad
Biryani Ayam Goreng,40365,Main Course,asin gurih rempah crispy ayam biryani,Kebuli Ahmad
Samosa Jumbo (1Pcs),14500,Appetizer,asin gurih rempah ayam daging sapi sayuran crispy pastry,Kebuli Ahmad
Kebab Super (1pcs),21600,Appetizer,asin gurih smoky creamy daging kebab,Kebuli Ahmad
Dimsum Bakar isi 5pcs,31000,Appetizer,asin gurih manis smoky dimsum bakar,Kebuli Ahmad
Dimsum Kukus isi 5pcs,31000,Appetizer,asin gurih juicy lembut dimsum kukus,Kebuli Ahmad
Seblak Komplit Ceker,24500,Main Course,asin gurih pedas telur kerupuk batagor ceker kwetiau mie seblak,Seblak Spatula
Seblak Campur Telor,22000,Main Course,asin gurih pedas telur kerupuk batagor kwetiau mie seblak,Seblak Spatula
Seblak Campur Biasa,15000,Main Course,asin gurih pedas kerupuk batagor kwetiau mie seblak,Seblak Spatula
Seblak Komplit Tulang,26000,Main Course,asin gurih pedas kerupuk batagor telur tulang kwetiau mie seblak,Seblak Spatula
Komplit Kikil,26000,Main Course,asin gurih pedas kerupuk batagor telur kikil kwetiau mie seblak,Seblak Spatula
Seblak Komplit Sayap,28500,Main Course,asin gurih pedas kerupuk telur sayap ayam batagor kwetiau mie seblak,Seblak Spatula
Komplit Tulang Ceker,31000,Main Course,asin gurih pedas kerupuk batagor tulang ceker kwetiau mie seblak,Seblak Spatula
Seblak Komplit Ceker Sayap,32500,Main Course,asin gurih pedas kerupuk batagor telur ceker sayap ayam kwetiau mie seblak,Seblak Spatula
Komplit Tulang Sayap,33500,Main Course,asin gurih pedas kerupuk batagor telur tulang sayap ayam kwetiau mie seblak,Seblak Spatula
Komplit Tulang Ceker Sayap,37500,Main Course,asin gurih pedas kerupuk batagor telur tulang ceker sayap ayam kwetiau mie seblak,Seblak Spatula
Makaroni Basah,24500,Main Course,asin gurih pedas makaroni baso sosis,Seblak Spatula
Bakso Aci (Boci),24500,Main Course,asin gurih segar pedas baso aci batagor kerupuk ,Seblak Spatula
Spatulaker,27000,Main Course,asin gurih pedas spageti tulang ceker ayam,Seblak Spatula
Suki (Kuah Tomyam),31000,Main Course,asin gurih pedas kerupuk batagor kwetiau mie seblak,Seblak Spatula
Cah Kangkung,33000,Main Course,gurih savory bawang manis sayur tumis,Abtl Kalisari
Bebek Jumbo Goreng,67500,Main Course,gurih juicy crispy bebek goreng,Abtl Kalisari
Bebek Jumbo Bakar,67500,Main Course,gurih manis smoky bebek bakar,Abtl Kalisari
Bebek Super Goreng,59500,Main Course,gurih juicy crispy bebek goreng,Abtl Kalisari
Bebek Jumbo Goreng Bumbu Hitam,72200,Main Course,gurih rempah pekat sedikit pedas bebek,Abtl Kalisari
Bebek Super Goreng Bumbu Hitam,64000,Main Course,gurih rempah pekat sedikit pedas bebek,Abtl Kalisari
Ayam Super Paha Goreng,44500,Main Course,gurih juicy crispy ayam goreng,Abtl Kalisari
Ayam Super Paha Bakar,44500,Main Course,gurih manis smoky ayam bakar,Abtl Kalisari
Ayam Super Dada Bakar,44500,Main Course,gurih manis smoky ayam bakar,Abtl Kalisari
Ayam Super Gorang Bumbu Hitam,49500,Main Course,gurih rempah pekat ayam goreng,Abtl Kalisari
Ayam Penyet Paha,46000,Main Course,gurih pedas savory ayam penyet,Abtl Kalisari
Ayam Penyet Dada,46000,Main Course,gurih pedas savory ayam penyet,Abtl Kalisari
Ayam Pejantan Setengah   Ekor Goreng,69000,Main Course,gurih juicy crispy ayam pejantan,Abtl Kalisari
Ayam Pejantan Setengah  Ekor Bakar,69000,Main Course,gurih manis smoky ayam bakar,Abtl Kalisari
Ikan Nila Goreng,56000,Main Course,gurih crispy savory ikan goreng,Abtl Kalisari
Ikan Nila Bakar,56000,Main Course,gurih manis smoky ikan bakar,Abtl Kalisari
Ikan Bawal Goreng,46000,Main Course,gurih crispy savory ikan bawal,Abtl Kalisari
Ikan Bawal Bakar,46000,Main Course,gurih manis smoky ikan bawal,Abtl Kalisari
Ikan Lele Goreng,36000,Main Course,gurih crispy savory lele goreng,Abtl Kalisari
Ikan Lele Bakar,36000,Main Course,gurih manis smoky lele bakar,Abtl Kalisari
Tahu - Tempe Goreng,23000,Appetizer,gurih crispy ringan tahu tempe,Abtl Kalisari
Tempe Goreng Tepung,25000,Appetizer,gurih crispy renyah tempe tepung,Abtl Kalisari
Milkshake Chocolate Float,30000,Beverage,manis creamy dingin coklat float,Abtl Kalisari
Milkshake Strawberry Float,30000,Beverage,manis creamy segar dingin stroberi,Abtl Kalisari
Milkshake Vanilla Float,30000,Beverage,manis creamy dingin vanilla susu,Abtl Kalisari
Milkshake Chocolate,25000,Beverage,manis creamy dingin coklat,Abtl Kalisari
Milkshake Strawberry,25000,Beverage,manis creamy segar dingin stroberi,Abtl Kalisari
Milkshake Vanilla,25000,Beverage,manis creamy dingin vanilla,Abtl Kalisari
Orange Squash,26500,Beverage,manis asam soda segar jeruk,Abtl Kalisari
Lemon Squash,26500,Beverage,asam manis soda segar lemon,Abtl Kalisari
Es Teler Durian,38000,Beverage,manis creamy dingin durian santan,Abtl Kalisari
Es Teler Original - Prambose,34500,Beverage,manis creamy segar buah santan,Abtl Kalisari
Jus Alpukat Float,36000,Beverage,creamy manis dingin alpukat float,Abtl Kalisari
Jus Strawberry Float,31000,Beverage,manis segar creamy dingin stroberi,Abtl Kalisari
Jus Jeruk Float,31000,Beverage,manis asam segar dingin jeruk,Abtl Kalisari
Jus Sirsak Float,31000,Beverage,asam manis segar dingin sirsak,Abtl Kalisari
Jus Melon Float,31000,Beverage,manis segar dingin melon,Abtl Kalisari
Jus Jambu Float,31000,Beverage,manis segar dingin jambu,Abtl Kalisari
Jus Mangga Float,36000,Beverage,manis segar creamy dingin mangga,Abtl Kalisari
Jus Alpukat,31000,Beverage,creamy manis dingin alpukat,Abtl Kalisari
Jus Strawberry,26000,Beverage,manis segar dingin stroberi,Abtl Kalisari
Jus Jeruk,26000,Beverage,manis asam segar dingin jeruk,Abtl Kalisari
Jus Sirsak,26000,Beverage,asam manis segar dingin sirsak,Abtl Kalisari
Jus Melon,26000,Beverage,manis segar dingin melon,Abtl Kalisari
Jus Jambu,26000,Beverage,manis segar dingin jambu,Abtl Kalisari
Jus Mangga,31000,Beverage,manis segar creamy dingin mangga,Abtl Kalisari
